fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	extra_trees	early_stopping_rounds	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 204318	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	154	TRUE	TRUE	130	0.0499845327889174	0.627114990237145	101	10	0.4713223900314	40
20220831 204320	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	123	TRUE	TRUE	110	0.062043295047312	0.502245939630858	132	10	0.465259297388861	41
20220831 204327	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	363	TRUE	TRUE	222	0.0260316129300099	0.648970534158253	336	236	0.469918339076296	42
20220831 204331	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	243	TRUE	TRUE	128	0.0508393065929177	0.62437254932805	521	10	0.469349853887706	43
20220831 204335	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	128	TRUE	TRUE	127	0.051463011340913	0.649030278725166	159	331	0.464930276105406	44
20220831 204342	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	368	TRUE	TRUE	225	0.0256172634007441	0.752189194974537	314	12	0.469373928099688	45
20220831 204349	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	522	TRUE	TRUE	263	0.0214184625714604	0.799482951855187	459	333	0.468483163811436	46
20220831 204355	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	204	TRUE	TRUE	217	0.026722533576584	0.726827985350558	235	148	0.470413619350966	47
20220831 204404	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	486	TRUE	TRUE	337	0.0162707484922226	0.659979760593711	374	415	0.468520130879124	48
20220831 204408	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	191	TRUE	TRUE	137	0.0467102157231805	0.615217257373703	409	10	0.464798169633109	49
20220831 204412	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	274	TRUE	TRUE	112	0.0604995719487442	0.694174976050036	590	11	0.460000016548846	50
20220831 204416	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	169	TRUE	TRUE	124	0.0527996519878463	0.743387053622272	177	10	0.47133952882691	51
20220831 204423	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	432	TRUE	TRUE	214	0.0271558034410199	0.785073923515726	598	11	0.462541272416794	52
20220831 204426	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	188	TRUE	TRUE	124	0.0530832322434736	0.313929596602921	216	35	0.462449890541574	53
20220831 204430	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	206	TRUE	TRUE	151	0.0412654844260736	0.714721314663476	5	10	0.467724974184887	54
